J Tech Pixel Uploader - Upload Log
==================================================

Session: 20250813_015148
Device: ESP8266
Port: COM4
Baud: 115200
Firmware: C:/Users/asith/Documents/MicroControllerUploaderPython/SampleFirmware/alternating_cols_8x8.bin
==================================================

[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
[01:51:48] 🚀 Upload session started at 20250813_015148
